시군구,기타관광쇼핑,대형쇼핑몰,레저용품쇼핑,면세점,기타숙박,캠핑장/펜션,콘도,호텔,일반외식업,제과음료업,골프장,관광유원시설,기타레저,문화서비스,스키장,여행업,렌터카,수상운송,육상운송,항공운송,뷰티,의료관광
경기도 수원시,4653645928,8563566306,1190828033,544042,861544809,1491081120,2332894526,5141863590,24979366897,4022594080,3035472086,2016260400,969084302,969471545,0,494079667,640532037,170604,560948869,100707,914716850,258496565
경기도 시흥시,2662753052,4233940459,692068023,357706,573953817,822687694,1240471003,3098831117,11502416307,2028738645,1724930539,1153404484,503020717,418646343,0,257126930,324486628,1648711,351820161,99889,630818522,135691272
경기도 안산시,2619704217,4532246580,771308966,395274,495422873,804439117,997554116,2988406114,13404410453,2253142050,1768489222,1360204418,432098849,528255255,0,255191721,367837790,193215,354987124,5017,555569949,139725967
경기도 안성시,2527887186,4265644601,634130132,464521,515635049,669441311,1152297448,2781263551,12668363958,2197885365,1615486971,1015558117,437443415,516839169,0,231489498,374661489,398760,378150062,71258,545199797,122429961
경기도 안양시,2040029940,3969623173,715662166,213694,503538600,864571731,1326256698,2566426118,13042445263,2112203083,1815070691,1256860744,481175124,410085970,0,275789730,272300418,117732,347183263,143398,524183339,130215070
경기도 양주시,2671078545,4277919331,579228619,262121,513576153,740115228,1108642011,2582955846,11345764336,2124507294,1703809525,1072650244,439022509,493382109,0,248919024,343020445,1318320,423679581,28462,470803877,143502200
경기도 양평군,2129014072,5116936230,599271287,75976,548367850,2515216357,3592734751,2756870872,13120215018,1920449536,1829596975,1212595826,483264932,543994002,0,238984346,293772962,1652278,330874587,98326,578095987,157212083
경기도 여주시,2564952778,4955865820,624508182,419274,517890644,766808275,1016130616,2616912446,12714942220,1804017405,1993428333,1078357076,424345069,435749839,0,279028478,371082351,1398404,318416085,106655,635646438,117919478
경기도 연천군,2046841104,4065806353,572982810,225998,580498949,819243781,1390305168,3216806278,11039324045,2147742823,1832565133,1053540619,540433000,452467588,0,253684929,348278082,1723007,378337440,34009,539230282,156265387
경기도 오산시,2388660367,4109788809,655494457,31943,544193639,756349675,1144135923,2601924057,13707313843,2294576588,1889583231,1123468853,439570228,410493891,0,227422494,343853706,661120,351149401,93632,475048510,120126640
경기도 용인시,4786001354,9256238026,1174804199,291445,993253117,1408623100,2419748660,5122367561,23484078223,3528745542,3209519653,2548910598,791373777,747661624,0,422103502,634867110,1040378,711645327,14656,1085989179,244134605
경기도 의왕시,2685822981,4097951415,643864797,60902,522129468,764133010,1033788252,2967047726,12217581178,1856879063,2077472619,1046671288,426189266,527986780,0,269806309,329694082,1518150,316340046,119899,493108841,142556314
경기도 의정부시,2301650763,3963087704,723151022,540837,567177990,782010153,1043535772,3403258604,12467528085,1956138592,2055816480,1284580155,507923629,546321867,0,264235558,335305689,2035169,304953423,49213,639741111,141490513
경기도 이천시,2442517799,4219392387,556329597,316734,643834617,862579799,1382754255,2859473301,13322729325,2071958558,1783064980,1362789434,435518280,503206700,0,238606922,287693920,266293,348725609,49297,555171711,148959725
경기도 파주시,2284416023,4616443347,705786211,105907,550557865,751165521,1358723646,2639067915,11226082412,1838355605,2040278513,1065388168,426658882,437878112,0,225733588,323805300,1180705,403925115,61698,559408035,147754864
경기도 평택시,2082054342,4377363148,613587406,180725,502550145,659918711,1042315682,3573933823,11531378923,1882058421,1949103060,1093351260,569107058,537179256,0,247556813,372775498,2148332,416149349,92443,621682570,126553726
경기도 포천시,2814617587,4531915582,663076330,541449,471294007,706497470,1027007143,3380307829,13612167263,2170499023,1948797289,1140770299,488808983,483994835,0,240064116,317525334,1491148,411524670,9252,508094267,141488154
경기도 하남시,2554004622,4748805987,571033111,99128,515086421,747892393,1004046164,3217766841,10351921247,1815786648,2036622427,1307578659,438491176,454764994,0,285589602,280651501,1736252,331143437,4509,656178095,118747144
경기도 화성시,2637226488,4668808030,711256741,148312,575002545,736711653,1102494501,3278021642,13265321509,2116033666,2033749971,1365421351,499548152,538425231,0,283566753,343736162,1412724,411613023,72676,490045364,153523524
경상남도 거제시,882097115,1713309145,270446715,506766,217030271,325487972,444627520,1100211775,4036434056,721335015,762935456,439987158,186038144,165274697,0,93174898,119595126,407723705,137886811,17058,221993563,61491456
경상남도 거창군,813449683,1990784525,280817711,502297,191329765,323725617,490039765,1150940172,4265867160,695257035,856835044,566196532,208307517,184968174,0,109901206,128462725,970854,133465813,115146,190467535,51271391
경상남도 고성군,924746115,1995154090,223691910,397398,233459639,306426937,457331821,1009754853,5195623617,807365094,718086076,547305474,180196450,197555232,0,98047991,132698347,471555560,138416018,7090,248115868,49284687
경상남도 김해시,898779755,1604641917,266797871,35108,211006041,343756037,434812473,1294795456,5174206893,832202477,829021563,521134143,194426082,177049080,0,115877497,129737186,903918,126912228,15157,200466909,54548206
경상남도 남해군,886377745,1572200295,268691386,389862,216631137,340470785,426799135,1193154812,4859837214,730080745,882940646,494663368,207561626,217095884,0,115514601,139512138,531632534,133253828,59972,189909519,55725684
경상남도 밀양시,986895996,1904855763,255107073,29726,196236637,301965458,526594619,1039963429,5416638518,761600229,697039344,531963331,173978626,213246071,0,89925137,137698768,2130283,156676769,2577,220714706,55176163
경상남도 사천시,904724681,2106082924,290372080,350206,213827919,321710114,403974777,1299384049,4957527442,833723163,731658352,500743245,200089717,202095198,0,90175172,120529413,441950856,155856926,33797,221396344,59294450
경상남도 산청군,1084120940,1751756599,217913959,273144,234930104,278633425,544324950,1415548240,5051532046,686153979,787376752,426977249,171485589,180746288,0,113343542,137866455,317155,154303855,37004,226647001,53881555
경상남도 양산시,992180121,1821038406,217546666,36962,243040439,329373950,461999416,1086962065,4852547924,881561523,681713045,491604053,206692665,215205174,0,109245483,148806418,1105972,159503266,41441,196278308,52868198
경상남도 의령군,814558444,1697188537,274917533,345222,221669972,270910286,465340193,1386011639,4356690366,840484323,699829714,527446379,166693552,220217985,0,96097916,109491385,1740073,138585985,110981,220664463,51105519
경상남도 진주시,1012887734,1936413443,231324447,84897,223237861,288741535,494343727,1288841944,5015351414,764954269,853110982,505169142,198046211,169916859,0,89274391,116952473,2034851,130981876,104210,191534978,46862727
경상남도 창녕군,979485402,1860668743,247786155,232118,180964851,349590645,497139841,1342690620,4579391388,773453192,722954907,522638946,178194703,166962522,0,114213830,116900647,522175,131196301,30697,234600351,48632321
경상남도 창원시,1051094927,1930414325,285562358,90831,208993356,329175050,553572254,1315253052,4098306277,882628475,837982030,486077624,221813545,210767939,0,102164010,123593859,442550755,149393310,8558,248253512,58125906
경상남도 통영시,819137852,1640582067,225566394,498756,256147821,305626112,526280163,1376795143,4474428571,839490342,743399672,455657134,198256761,183922026,0,109461797,131980425,480894771,140891217,98676,211328173,50512607
경상남도 하동군,824754303,1889897306,281308688,607057,225399750,312333586,547216739,1359523886,5311669281,846490079,652310242,428334373,193185816,186797636,0,97465908,132210188,497283092,148532620,81320,214822475,61217135
경상남도 함안군,856584784,2084704362,270462355,307382,245021639,292929209,407460897,1148342940,4554966345,728326228,685773501,512558358,204117262,189252276,0,110586425,121329283,2103054,135078071,50713,227177557,57033586
경상남도 함양군,827374881,1862218053,239180227,188893,186407279,328720195,477246763,1248643031,4125165751,656524671,788489819,469046443,207978032,219224269,0,91008476,120438470,910117,134293551,41398,234346372,61275919
경상남도 합천군,974788093,1924145727,290492150,240044,230795505,259735682,506994817,1344227970,4313114250,707855570,649704012,483304962,207850481,204972999,0,100856691,131581603,949143,130819333,6034,221514105,53828521
경상북도 경산시,988544957,1922193313,294504818,571409,225627215,278338572,525090980,1326055754,4377783916,831400013,753390245,459126792,186700016,192437662,0,99806499,141321337,1050139,132602199,17480,233375361,59966443
경상북도 경주시,874258861,1775529329,243321376,562512,221521606,902421222,1530005852,1161797628,4066463661,765196173,862748844,425012350,198733838,173684426,0,93986851,127890977,513416956,142668233,27767,242542052,49778712
경상북도 고령군,906629869,1596744693,308221598,237497,240865437,312377628,479814510,1027699672,5194828225,699290129,793036229,516573707,209684078,170525317,0,95222293,120495306,1288822,128785238,107037,212777292,53337517
경상북도 구미시,1010040531,1808170098,288264139,82300,230984911,294210320,462763447,1169154957,4959525369,786387442,772087313,499508226,199969813,177533025,0,113459330,118225321,2174999,150712626,108657,232556619,61298753
경상북도 김천시,885325758,2000490899,290624686,6543,249085239,324316900,440165940,1400359447,5210203731,829428706,663344104,465380094,196946508,173050785,0,113053810,114669671,375731,148049984,61116,220834722,49083445
경상북도 문경시,997353652,1946544387,239097725,379610,196514362,272511151,476662932,1256130050,4785551541,758772489,719093747,423576381,164445937,218789361,0,95201710,141999563,2037653,167065644,26846,196521917,50931748
경상북도 봉화군,1026293358,1964175644,274761990,585024,208022532,266874820,450197931,1145750144,5400664963,819953869,790589533,409728201,195655591,189896269,0,95397545,142928000,1944095,152918249,69523,207670244,63373854
경상북도 상주시,1046285062,1972809999,269089804,538996,210951894,335406482,414839325,1203972473,4325890957,735765824,825008500,467586277,186967968,189396244,0,115457179,144068615,1285005,146638919,128642,213862167,51887632
경상북도 성주군,1017566121,1514175739,291036367,301194,220178874,299736535,472205027,1100865505,5197648350,787050973,819129340,436749776,230911746,198479421,0,90855495,142712593,1601804,126491725,109305,235629661,51126815
경상북도 안동시,878537127,1700282815,279901875,653601,203255643,292178049,474776110,1326798218,4224883000,765743762,668596418,475770327,222966276,210387649,0,120259079,131266110,911442,150381795,29194,242052886,52853069
경상북도 영덕군,1110357805,1729798873,223883988,541727,228401635,315670902,496894989,1284589140,5182018551,665763547,696563416,561534260,180512929,183946426,0,98255345,131660047,560399168,131904605,65186,227092245,46614323
경상북도 영양군,1074603201,1895177436,253741896,385839,215162794,317056780,442362957,1416953447,5001635307,795688983,698719901,412762931,184207782,202601677,0,103756722,143835781,256057,153280978,37328,213309140,49182753
경상북도 영주시,932060034,1804699844,282968035,81583,200460268,316759308,492290824,1363718051,4902256452,870278138,685367821,484098318,162558354,179359664,0,121922058,110744396,895492,155514433,88281,241460479,56997189
경상북도 영천시,867492392,1696345479,283963289,144306,241239894,334014313,536323465,1041265996,4974420561,864720588,787496392,507077500,210563506,193001043,0,91392883,128037497,1713319,160375873,30985,218867978,56879278
경상북도 예천군,817021065,1824844043,246928872,40127,218187272,326425345,497718347,1289907849,4189324580,715863499,802350372,417595028,194004733,200892329,0,91345051,123473341,1237978,127589467,60788,260820872,49686237
경상북도 울릉군,1022914980,1813625830,242378234,315157,210186512,257772745,436483458,1223814379,5260505058,893479963,825129890,491207924,190531820,197241975,0,92576472,128658841,547452790,143565246,22117,196301207,54428582
경상북도 울진군,1080768051,1670438430,286028229,174107,225775547,350787797,517499250,999375409,5283466755,689783622,724841147,468361170,193470959,192939178,0,111858067,134402772,425786785,166687523,129601,187942829,46872905
경상북도 의성군,848946211,1622515178,259425837,82104,256388251,268590954,430012284,1100527084,4600885041,710451834,844930287,427971026,175030407,213880148,0,110437400,110249396,1674207,119436468,60939,189586426,54164292
경상북도 청도군,925891516,1715484906,287809117,515603,231472440,269537631,514629408,1155152380,5430298043,833866356,752761049,489110829,224945465,175210502,0,91651199,124904933,737089,148736791,96704,185190399,60733430
경상북도 청송군,962035254,1606045696,265071209,309531,194462379,323389920,531678274,1015830368,5094170135,781598350,663201954,459928491,193022658,172285609,0,110695587,141112815,2374358,139974894,93411,183942841,57268206
경상북도 칠곡군,1050474481,1750008390,222578531,115924,217623886,321200808,492486542,1287109459,5351440103,653641785,667616448,502276659,178048211,174451641,0,103459988,142441517,1668384,125953030,16423,211589615,55078853
경상북도 포항시,1047470504,1710393221,250780911,5605834304,189587512,298332712,437340744,1125842043,4180433264,758037921,807243302,448258141,180603643,202613618,0,118309095,135397843,466003783,141132500,4677626716,228298384,51342215
광주광역시 광산구,1974198428,3031333038,485715084,10848481702,350792846,52639116,92088628,2375296687,8383815065,1527336372,1523825945,955985020,312705002,366884999,0,217620292,235456036,2027246,271919461,8166619759,426496898,97058040
광주광역시 남구,1540824635,2785908254,460734470,245937,423066497,51219041,83671712,2503789933,8102326276,1275541640,1577216312,750057435,376027951,407217642,0,200575525,221593614,786120474,274064122,704,368532719,106863836
광주광역시 동구,1859032447,2752713367,438058035,24499,421230639,48463792,87324918,2146949281,9173096440,1465249645,1485461394,947315995,323707060,295694016,0,164897527,221774795,1866583,227964302,44485,443509654,90197981
광주광역시 북구,1829472309,3398644928,466611363,63167,341089964,56401585,82743671,2358486975,9814616558,1269353561,1469789112,731330906,383892759,352877324,0,155447746,206175286,668822,248483274,3370,339946404,93587710
광주광역시 서구,1906566793,3178357088,406986985,318136,436968819,51045183,92750769,2031256935,9655919474,1482909891,1485747246,761022540,415688260,378100204,0,201176838,214413663,1107516,234786476,46529,344400920,90409538
대구광역시 군위군,1461485178,3296076904,445406569,412316,358667561,59198194,85675697,1933492691,9627614756,1550180656,1281024872,833650919,386805939,375114451,0,203600319,212591545,1482013,281602280,87020,349079560,108153011
대구광역시 남구,1844990867,2888474957,421086884,347409,436170347,46335154,98760906,1905803002,8835561029,1186034486,1558819626,835145068,317054555,335384412,0,163640082,257595061,853670566,291715326,92778,391966006,87990128
대구광역시 달서구,1725574232,3315020967,508770361,422942,380615247,62379756,82473656,2063643695,9453288764,1222056737,1122309503,881665230,394080189,325063437,0,182276604,234194933,1646552,256086928,75917,390310288,81511943
대구광역시 달성군,1427914921,2901563191,402962059,572541,397892717,54229954,78160703,2077158630,7395610507,1278116646,1426365542,814036516,399555747,344883313,0,195679799,197004634,844566,302375479,126562,353630826,96969627
대구광역시 동구,1841966077,3649285580,490016608,9766976599,417006708,50822941,94349262,2500454912,9334583965,1508693548,1168619669,920417163,397866080,312785769,0,177987373,236520053,428696,249860236,8062294294,393984478,102272743
대구광역시 북구,1465693516,2850239882,455286848,390622,420151690,57147181,95642640,2135223089,8382866609,1255353288,1211107372,769285903,322285433,366157742,0,184230458,264090047,353962,228216970,36481,405215696,84641910
대구광역시 서구,1610378736,3783446738,502292362,542479,412278898,56829546,98440304,2251868275,8573587196,1439979885,1271599061,803148767,372617826,340196448,0,211908542,256969758,841352,227067336,20263,388139223,105847128
대구광역시 수성구,1825481154,3521998808,452760335,505815,419616935,46675521,94311409,2525786418,8185488267,1456554540,1327047464,735468263,341781824,376391835,0,167013204,248940718,1691528,239603963,105054,342904186,112567291
대구광역시 중구,1566002560,3685799689,463510720,226868,346396078,46455573,81493728,1911700822,7458912176,1460176869,1295600514,781739991,402951232,316850880,0,179811251,264806308,2523338,265719281,29748,455163221,97845435
대전광역시 대덕구,1668697208,3049692192,465376967,477982,405999244,50070182,78832798,2430731155,8307812628,1588870593,1437842610,781423258,353975775,377052214,0,198751586,228674772,1236126,231696380,65505,433020989,87371428
대전광역시 동구,1914590435,3536599938,433360835,90406,421424701,47479379,86233300,1825330476,8640414881,1471724906,1257404669,977538300,400091440,369718664,0,216241381,212246383,135827,278812253,57190,327912708,113436919
대전광역시 서구,2001923648,3262267336,422155301,575682,402207641,50886969,80506480,1900374156,9657129907,1326184938,1400330080,856900291,373087074,391179711,0,174807416,262095454,2136803,274882496,61151,347471151,113312137
대전광역시 유성구,1702207816,3585111224,508169130,371951,376124621,44867914,99678179,2044686581,9031086686,1534631453,1472489257,748479967,379686608,360546608,0,194741431,258489720,1980925,241280156,119818,460177810,87645983
대전광역시 중구,2014290299,2756783151,395747985,511513,444353673,56793540,79498414,2397075443,9110300493,1484172627,1409695693,945387873,369156736,311604183,0,160636755,225289481,1674977,248402758,32880,411918982,102767029
부산광역시 강서구,2015670644,3908733185,694553129,15616726185,497929447,853250960,1108816948,2969823955,10320241017,2135799032,1892150604,1134996194,540180945,467083971,0,224020856,304169917,379768,349428763,11863634647,580160503,160115425
부산광역시 금정구,2375676337,4458607891,660606131,555971,540092054,711294270,1193792170,3233399038,10303790024,1993530219,1675449298,1299443380,549836911,521610717,0,255778671,279885169,2154833,357672495,17347,604193153,143754081
부산광역시 기장군,2314300053,4510165859,575595819,381688,470711953,694704429,1297715732,2596336729,13598942355,1718701014,1709849401,1292973229,445707195,418990226,0,236400629,369211586,1101837640,389817050,116840,627120853,131200472
부산광역시 남구,2814869836,3967105338,683146674,200991,619224042,848687539,1274881208,2746292456,11109908047,2103448966,1630567192,1102602907,440192697,525174035,0,241895372,320566366,1239426306,405045862,55583,610197371,132624613
부산광역시 동구,2294775763,4268448976,599271632,301028,485689012,810409315,1073561923,3012211353,11236904647,2134900912,1735040945,1380059560,537558340,510549795,0,283256131,277226162,1051834,362669993,63616,626157851,119500709
부산광역시 동래구,2609710481,4316045629,682615380,66883,523709216,641025642,1051676409,2929995477,11166521950,2198048107,1594521958,1155605443,476649997,424079088,0,248354767,334290967,983620,362014071,32806,627160713,114268438
부산광역시 부산진구,2417886827,4710571891,656396531,225104,553169171,883203652,1057776730,2572947374,12504830243,2044898499,1627448088,1131726640,404309185,443142135,0,264492499,315451917,925821,354998793,78208,616213326,156107758
부산광역시 북구,2116804188,5147895560,686539978,508867,512476669,676971828,1326302392,3128530766,13163947298,2011994974,1872725072,1029778083,511592202,494068816,0,247347466,319178242,526176,398200075,79400,510500922,151879751
부산광역시 사상구,2442227243,5216035719,692627102,444435,474326488,845834523,1251922081,2938629134,12961808306,1758922135,1721923684,1391223004,450097295,468771240,0,278374454,271721697,2021195,346265228,53041,553025409,134322742
부산광역시 사하구,2616357725,4186776563,761516233,134830,498620817,846701034,1209897292,3098305728,11954903647,1642830869,1647982077,1198175797,434991212,419615536,0,304291836,352259367,1358389930,341130941,33892,610918379,155056407
부산광역시 서구,2514631866,4991681307,651518474,100923,616986089,699246426,1062312949,2606867906,10404672485,2073400094,2073368813,1154102251,510872112,481864330,0,301019079,302964781,1268469,381989316,86382,564610508,125337075
부산광역시 수영구,2500152162,4856267265,655904425,102605,615749020,722198615,1252041941,3353214637,10291589082,2084227889,1681085731,1236740922,520980569,452378965,0,249456855,367612873,999399693,390741622,62110,604996587,134769563
부산광역시 연제구,2477599770,4420126487,702009375,135122,607564640,820191877,1247905677,2860150018,12618836130,1834291076,1839366098,1183119338,495652542,436130481,0,303397397,290598291,708493,384020605,50585,481499724,144682096
부산광역시 영도구,2211050777,4453826249,679275955,504193,538151815,838332846,1078163766,2863415214,13239860002,2202177287,2107661987,1164967262,524903155,493050878,0,243282939,327206403,1096533600,344138613,91294,571808501,129939571
부산광역시 중구,4376064669,9795117537,1243866642,16044880975,1223356896,1343173243,2610357469,6260344770,23643866735,4404181818,3750533045,2389875595,874100255,915944557,0,486341862,642816221,1337172,706738013,102780,1219475546,248070615
부산광역시 해운대구,4214815215,7862218022,1286269943,19582824071,951733393,1387386225,2312221860,6416908629,24622809353,3945734812,4094270335,2460736474,1071683539,1087768684,0,471623982,578321512,2244264374,836439146,123759,1198576730,261573884
서울특별시 강남구,7573429703,14645052203,1879985248,30042137283,1830658196,220858449,419944891,10212009474,43168634490,5461564757,5382833647,3924146211,1519141677,1665528261,0,710527114,1061326531,3894860384,1095661226,14227,7597864837,1957698848
서울특별시 강동구,3490928458,7743066361,903798225,17602,1000755533,108315007,217118948,4464094951,17842286192,3016438862,3399099401,2108752678,845817891,863976122,0,468801202,518624425,862421,570836168,47700,763405902,237405644
서울특별시 강북구,3324094962,8040986831,1102212928,82697,796972049,128782524,206703017,4764074666,22293802719,2601058865,2906920550,1965107290,840845483,680638717,0,415438304,489724721,2196085,651317269,22742,822576063,248078607
서울특별시 강서구,3809472156,6190324843,958626475,26868868870,958316463,139296800,196016305,4463813710,16658474480,2757135059,2548794793,1921947225,700843651,769294254,0,395177742,558518211,261910,607915828,18955549732,880237642,223243981
서울특별시 관악구,3663856125,6182030682,1001187713,667827,940941773,126300790,173064857,5359222955,20330543022,3111151509,3550841194,1797498879,886883870,867192098,0,412703008,595623813,673500,507218263,35066,803884846,218154928
서울특별시 광진구,3512959698,7360028770,928342099,66067,851194032,113544771,182308077,4834520612,21744165592,3174012435,2654780551,1637486183,892071366,756782097,0,442803640,559933457,455865,606370228,101495,922623812,212441866
서울특별시 구로구,4193608348,7447620628,1072646959,64880,951917197,138895548,162825952,4412034093,20915497943,3383396686,3308596871,1764314226,813048867,816643984,0,390609785,447563467,2509247,594557097,97088,848050881,240450392
서울특별시 금천구,3349316180,7472895034,1234098587,458659,931218979,114572710,220425987,4181655520,20160759322,3340481099,3288258724,1999711584,777415505,865364343,0,431006735,561556553,1147861,511231679,123995,781211211,252860422
서울특별시 노원구,3234412721,7003901631,868655688,6542,821559389,114276238,173324470,4907590338,19759555277,2994799790,2797450122,2061067940,759017214,771986392,0,465051222,513950639,2563652,616864430,105442,859253671,241944493
서울특별시 도봉구,3918773499,7029356120,993071115,228929,1006434887,106269128,207961795,4763670319,21556681470,3327903646,3282273845,1963565398,785828656,721367432,0,404725876,531871772,2354685,495537358,115572,853408150,226151445
서울특별시 동대문구,3363334425,6737301652,935368206,346997,931768504,114308936,166170813,4432617152,16790798062,2757339740,3101777959,2102522681,855612478,793792884,0,399438875,475918253,2324119,579972098,80465,784432969,243563389
서울특별시 동작구,4315802285,6649050684,1101331954,488709,837328952,119211293,221644447,5376403160,16759450812,2940062301,2981425284,1933412158,704025302,864994868,0,464142077,592211287,1636223,491555852,72533,913491040,200342565
서울특별시 마포구,7860426086,13344086141,1780901422,7362,1985321257,247881610,424157103,9079456398,38720800334,6120863956,6059198550,4107424039,1798640010,1392078860,0,849398805,899527081,1653168,1015448980,87042,1604105460,401320358
